time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,rain_sum,cloud_cover_mean,pressure_msl_mean,wind_speed_10m_max,wind_direction_10m_dominant,sunshine_duration
2020-01-01,20.9,25.9,15.6,75,0.0,0.0,0,1013.7,13.2,350,37281.26
2020-01-02,21.9,26.7,17.7,77,0.0,0.0,10,1015.8,16.1,337,36992.17
2020-01-03,21.8,26.5,18.5,75,0.0,0.0,43,1015.2,23.5,348,36971.84
2020-01-04,21.6,25.9,18.3,67,0.0,0.0,32,1013.5,21.4,345,37488.6
2020-01-05,23.1,29.7,18.4,66,0.0,0.0,0,1012.7,16.8,30,37467.29
2020-01-06,24.6,30.6,20.7,63,0.0,0.0,0,1013.4,17.1,28,37445.71
2020-01-07,23.9,28.0,20.3,76,0.0,0.0,3,1012.9,18.9,313,37423.94
2020-01-08,23.8,27.4,20.9,76,0.0,0.0,11,1013.1,17.3,330,37669.86
2020-01-09,22.6,27.6,19.2,59,0.0,0.0,0,1013.5,23.4,349,37915.14
2020-01-10,23.7,30.8,19.0,61,0.0,0.0,19,1012.5,19.1,21,37892.57
2020-01-11,25.3,32.1,21.1,66,0.0,0.0,4,1013.1,15.5,39,37602.94
2020-01-12,24.8,30.1,20.4,73,0.0,0.0,3,1013.2,17.3,319,38380.88
2020-01-13,23.9,27.7,21.7,84,0.4,0.4,9,1012.2,17.0,324,38091.38
2020-01-14,23.1,26.8,20.8,79,0.2,0.2,22,1012.2,21.5,348,38600.93
2020-01-15,21.9,25.3,19.3,63,0.0,0.0,3,1012.8,22.0,338,38819.65
2020-01-16,20.3,24.2,17.2,64,0.0,0.0,3,1014.3,21.1,348,38857.51
2020-01-17,19.4,24.5,15.9,56,0.0,0.0,0,1014.6,24.4,350,38895.61
2020-01-18,21.3,27.8,15.3,62,0.0,0.0,2,1013.1,17.9,350,38933.9
2020-01-19,23.0,29.1,17.9,64,0.0,0.0,0,1013.0,16.8,342,38972.29
2020-01-20,23.5,30.8,18.4,71,0.0,0.0,0,1013.0,16.6,346,39010.74
2020-01-21,23.5,29.2,18.9,73,0.0,0.0,1,1014.0,16.6,328,39049.18
2020-01-22,24.3,30.7,19.0,65,0.0,0.0,4,1014.7,18.7,345,39087.55
2020-01-23,25.6,31.8,21.7,62,0.0,0.0,3,1013.7,22.2,351,39125.8
2020-01-24,25.3,31.8,21.1,66,0.0,0.0,0,1013.3,19.6,355,39163.86
2020-01-25,25.1,30.6,20.4,64,0.0,0.0,19,1013.2,20.3,343,39201.67
2020-01-26,24.4,30.4,19.6,71,0.0,0.0,0,1011.7,15.5,327,39239.17
2020-01-27,23.7,28.0,20.3,77,0.0,0.0,0,1011.6,15.1,302,39276.31
2020-01-28,22.8,26.5,19.9,79,1.0,1.0,25,1012.8,18.8,305,39313.01
2020-01-29,21.8,24.7,18.4,63,0.0,0.0,14,1015.5,21.9,337,39349.24
2020-01-30,21.0,27.5,15.9,59,0.0,0.0,13,1014.5,21.1,347,39384.93
2020-01-31,21.1,26.1,15.9,62,0.0,0.0,5,1012.4,20.7,337,39420.02
2020-02-01,22.3,28.2,17.7,61,0.0,0.0,0,1012.0,22.2,338,39454.45
2020-02-02,23.0,29.3,18.4,73,0.0,0.0,16,1013.5,15.2,328,39488.18
2020-02-03,22.7,27.0,17.9,81,0.0,0.0,56,1014.3,14.1,289,39521.2
2020-02-04,23.2,28.0,19.6,70,0.0,0.0,36,1013.2,19.1,343,39553.76
2020-02-05,23.1,29.3,18.4,52,0.0,0.0,20,1012.9,20.0,339,39585.92
2020-02-06,22.6,27.2,19.0,61,0.0,0.0,32,1013.0,18.7,335,39600.0
2020-02-07,21.5,26.7,17.5,59,0.0,0.0,0,1014.0,22.9,334,39600.0
2020-02-08,22.7,29.4,17.2,63,0.0,0.0,2,1013.9,25.8,349,39600.0
2020-02-09,24.7,30.9,20.8,52,0.0,0.0,5,1013.8,27.4,14,39600.0
2020-02-10,25.8,31.8,21.9,56,0.0,0.0,4,1012.7,19.6,22,39600.0
2020-02-11,26.8,33.2,22.4,59,0.0,0.0,38,1012.8,17.3,11,36845.68
2020-02-12,27.9,34.6,23.1,56,0.0,0.0,45,1014.3,17.1,30,32980.01
2020-02-13,27.9,34.1,23.6,54,0.0,0.0,25,1014.5,23.1,3,39600.0
2020-02-14,27.7,33.1,23.7,43,0.0,0.0,3,1012.9,22.2,353,39600.0
2020-02-15,25.6,31.1,21.9,46,0.0,0.0,0,1012.3,22.3,338,39600.0
2020-02-16,25.1,31.4,20.8,61,0.0,0.0,0,1012.8,17.9,332,39600.0
2020-02-17,26.2,33.7,20.6,61,0.0,0.0,0,1013.2,16.3,325,39600.0
2020-02-18,27.2,34.3,22.0,57,0.0,0.0,0,1012.7,19.3,342,39600.0
2020-02-19,26.1,31.9,21.2,69,0.0,0.0,0,1012.1,16.3,318,39600.0
2020-02-20,25.1,30.8,20.7,74,0.0,0.0,26,1011.7,19.2,331,39600.0
2020-02-21,25.0,30.5,21.2,70,0.0,0.0,8,1013.8,20.4,332,39600.0
2020-02-22,25.7,32.2,20.8,58,0.0,0.0,36,1014.6,18.6,337,39600.0
2020-02-23,26.5,32.9,21.4,51,0.0,0.0,0,1013.3,20.7,336,39600.0
2020-02-24,25.6,31.2,20.0,54,0.0,0.0,15,1011.3,22.1,333,39600.0
2020-02-25,27.2,34.3,23.0,38,0.0,0.0,17,1010.4,25.7,359,39600.0
2020-02-26,27.1,34.6,22.9,37,0.0,0.0,1,1011.0,22.2,10,39600.0
2020-02-27,26.3,35.6,20.2,47,0.0,0.0,0,1011.1,18.2,7,39600.0
2020-02-28,25.6,32.2,20.0,54,0.0,0.0,0,1009.8,19.4,336,39600.0
2020-02-29,25.5,31.4,20.2,61,0.0,0.0,2,1009.6,22.4,324,39600.0
2020-03-01,25.0,29.7,20.7,69,0.0,0.0,1,1010.8,21.2,328,39600.0
2020-03-02,24.4,29.1,20.5,78,0.0,0.0,1,1011.7,15.8,302,39698.63
2020-03-03,24.4,28.5,20.7,80,0.1,0.1,16,1012.2,15.7,290,39600.0
2020-03-04,24.5,28.1,21.0,76,0.0,0.0,13,1011.9,18.0,303,39600.0
2020-03-05,24.4,28.2,21.2,75,0.0,0.0,16,1010.7,18.8,283,39600.0
2020-03-06,24.9,28.4,22.0,68,0.0,0.0,17,1010.7,20.3,263,39600.0
2020-03-07,24.0,27.8,20.8,65,0.0,0.0,10,1012.6,18.2,322,39600.0
2020-03-08,23.3,28.1,18.8,67,0.0,0.0,0,1012.4,18.6,324,40042.08
2020-03-09,23.7,28.5,19.1,74,0.0,0.0,0,1011.3,19.0,321,40017.23
2020-03-10,24.5,28.1,20.7,75,0.0,0.0,11,1011.2,15.6,299,39748.45
2020-03-11,24.6,28.0,22.4,65,0.0,0.0,6,1012.0,21.1,310,39967.66
2020-03-12,23.6,27.2,20.4,71,0.0,0.0,15,1013.7,20.1,329,39268.92
2020-03-13,23.2,28.6,18.6,62,0.0,0.0,42,1014.0,27.1,342,40405.71
2020-03-14,24.7,31.8,19.3,50,0.0,0.0,4,1012.0,27.7,350,40624.74
2020-03-15,26.2,34.0,18.6,40,0.0,0.0,46,1010.1,18.1,352,39869.67
2020-03-16,27.3,35.7,20.3,45,0.0,0.0,4,1010.6,21.1,345,40818.51
2020-03-17,27.3,34.1,22.0,54,0.0,0.0,2,1011.6,20.5,325,40063.29
2020-03-18,27.5,32.9,23.1,57,0.0,0.0,4,1011.9,16.4,318,40524.65
2020-03-19,26.0,31.4,21.2,67,0.0,0.0,5,1011.8,18.5,325,41229.04
2020-03-20,25.4,29.4,21.9,76,0.0,0.0,10,1012.0,14.8,292,40230.39
2020-03-21,25.0,29.3,20.9,78,0.0,0.0,5,1011.9,18.5,310,40934.56
2020-03-22,25.9,30.2,22.0,78,0.0,0.0,4,1011.4,23.7,332,41395.49
2020-03-23,27.5,32.9,23.2,72,0.0,0.0,5,1010.1,21.6,330,41126.71
2020-03-24,28.3,32.5,23.3,65,0.0,0.0,11,1008.3,22.7,324,41587.9
2020-03-25,28.2,32.0,25.4,75,0.0,0.0,20,1008.4,15.7,242,40589.27
2020-03-26,28.0,31.9,24.6,80,0.0,0.0,14,1009.5,18.3,241,41781.17
2020-03-27,28.6,33.2,24.8,65,0.0,0.0,15,1011.4,25.0,336,40782.52
2020-03-28,28.8,34.1,25.4,55,0.0,0.0,7,1011.0,28.3,335,41975.69
2020-03-29,28.6,34.4,24.4,56,0.0,0.0,0,1009.4,24.5,337,42439.05
2020-03-30,28.2,33.1,24.6,63,0.0,0.0,0,1009.8,18.0,319,42744.43
2020-03-31,27.6,32.1,23.8,67,0.0,0.0,15,1010.9,22.4,323,42392.7
2020-04-01,27.4,32.1,22.9,70,0.0,0.0,2,1010.5,23.7,330,42843.96
2020-04-02,28.3,34.5,23.7,64,0.0,0.0,4,1008.7,22.7,327,42892.83
2020-04-03,28.0,32.4,24.3,71,0.0,0.0,12,1009.2,22.2,321,42940.99
2020-04-04,27.6,32.3,23.5,72,0.0,0.0,0,1009.8,22.1,315,42988.95
2020-04-05,27.3,32.3,22.8,77,0.0,0.0,0,1010.7,18.2,287,43037.06
2020-04-06,27.3,30.9,23.1,80,0.0,0.0,46,1011.6,17.4,230,42998.06
2020-04-07,26.8,30.9,23.6,80,0.0,0.0,66,1010.8,16.4,281,43133.5
2020-04-08,27.2,31.1,22.8,76,0.0,0.0,4,1011.7,18.5,275,43181.69
2020-04-09,26.8,31.3,22.5,77,0.0,0.0,0,1011.1,23.5,320,43200.0
2020-04-10,27.5,31.8,23.1,76,0.0,0.0,6,1010.6,23.0,322,43200.0
2020-04-11,28.9,33.4,24.6,71,0.0,0.0,10,1011.3,20.1,320,43200.0
2020-04-12,29.0,33.3,25.6,75,0.0,0.0,4,1010.6,18.4,254,43200.0
2020-04-13,28.7,33.2,25.3,80,0.0,0.0,14,1009.3,19.0,223,43200.0
2020-04-14,29.5,34.4,24.9,75,0.0,0.0,26,1009.0,22.4,271,43200.0
2020-04-15,29.7,34.5,25.5,75,0.0,0.0,32,1009.9,20.3,250,43200.0
2020-04-16,29.1,32.3,26.6,81,0.0,0.0,17,1009.5,18.6,212,43200.0
2020-04-17,29.0,32.1,26.9,78,0.0,0.0,11,1009.0,18.3,245,43200.0
2020-04-18,29.3,33.4,26.0,77,0.0,0.0,16,1009.3,20.8,280,43200.0
2020-04-19,30.1,34.0,26.8,71,0.0,0.0,16,1008.9,22.8,305,43200.0
2020-04-20,31.0,36.7,25.5,58,0.0,0.0,0,1008.2,24.8,330,43200.0
2020-04-21,28.7,33.4,24.5,73,0.0,0.0,2,1009.3,19.2,304,43200.0
2020-04-22,28.8,32.3,25.1,80,0.0,0.0,5,1008.7,22.3,272,43200.0
2020-04-23,29.4,33.0,26.7,75,0.0,0.0,32,1009.0,20.2,271,43200.0
2020-04-24,29.0,33.1,25.4,79,0.0,0.0,1,1008.1,19.9,285,43200.0
2020-04-25,29.1,32.7,26.2,74,0.0,0.0,4,1009.2,17.5,267,43200.0
2020-04-26,28.4,32.3,24.5,78,0.0,0.0,7,1009.4,23.1,304,43200.0
2020-04-27,28.7,32.1,25.8,75,0.1,0.1,17,1010.6,21.3,294,42648.37
2020-04-28,29.3,33.5,25.3,75,0.0,0.0,3,1009.0,27.2,327,43200.0
2020-04-29,29.8,33.4,26.1,77,0.0,0.0,8,1008.7,18.5,270,43200.0
2020-04-30,29.8,32.5,27.8,77,0.0,0.0,21,1010.1,18.1,256,43200.0
2020-05-01,29.7,32.6,28.3,76,0.1,0.1,40,1010.2,18.3,282,41432.38
2020-05-02,29.7,32.8,27.4,78,0.0,0.0,20,1008.8,21.7,299,43200.0
2020-05-03,29.7,32.8,27.7,77,0.0,0.0,16,1008.5,20.8,309,43200.0
2020-05-04,29.2,32.5,25.8,80,0.0,0.0,9,1009.4,20.0,301,43200.0
2020-05-05,29.6,33.0,26.1,79,0.0,0.0,6,1008.6,22.8,308,43200.0
2020-05-06,29.8,34.0,26.6,80,0.0,0.0,0,1007.5,23.0,294,43200.0
2020-05-07,28.9,32.7,25.4,81,0.0,0.0,11,1008.3,20.5,279,43200.0
2020-05-08,29.3,32.8,26.5,77,0.0,0.0,20,1008.5,18.8,283,43200.0
2020-05-09,29.5,32.6,27.3,76,0.0,0.0,15,1008.7,20.6,298,43200.0
2020-05-10,29.5,33.4,26.4,78,0.0,0.0,9,1008.2,23.5,308,43200.0
2020-05-11,29.8,34.1,26.7,76,0.0,0.0,9,1008.6,23.0,311,43200.0
2020-05-12,29.1,33.2,26.1,77,0.0,0.0,10,1008.0,20.8,314,43200.0
2020-05-13,29.5,33.1,26.3,79,0.0,0.0,23,1007.4,20.1,298,42722.4
2020-05-14,30.0,33.3,26.9,77,0.0,0.0,8,1006.6,24.3,313,43200.0
2020-05-15,30.3,33.3,27.9,75,0.0,0.0,26,1006.7,23.6,314,43200.0
2020-05-16,30.3,32.6,28.4,75,0.0,0.0,41,1006.7,19.1,306,43200.0
2020-05-17,30.0,32.9,27.8,75,0.0,0.0,33,1006.2,21.7,305,41598.74
2020-05-18,30.2,32.6,28.6,73,0.0,0.0,52,1005.7,23.0,308,42600.76
2020-05-19,29.9,32.5,28.1,72,0.1,0.1,43,1005.2,19.4,295,42002.07
2020-05-20,29.8,32.6,27.8,71,0.0,0.0,30,1005.3,17.4,267,43200.0
2020-05-21,29.8,32.8,27.8,72,0.0,0.0,23,1006.5,18.6,269,43200.0
